side1,side2,side3,side1+side2,side1+side3,side2+side3,validity
95606,13265,30765,108871,126371,44030,0
53308,40569,43470,93877,96778,84039,1
86341,82090,45594,168431,131935,127684,1
77624,85046,54127,162670,131751,139173,1
97050,94481,15469,191531,112519,109950,1
88525,63871,62913,152396,151438,126784,1
15226,88245,50703,103471,65929,138948,0
35832,84096,86102,119928,121934,170198,1
4224,16916,64777,21140,69001,81693,0
46132,36153,67385,82285,113517,103538,1
26548,55383,60786,81931,87334,116169,1
73567,45481,22905,119048,96472,68386,0
98561,25554,21873,124115,120434,47427,0
86876,80174,33272,167050,120148,113446,1
48043,55670,38822,103713,86865,94492,1
61942,16306,21557,78248,83499,37863,0
10654,81288,57674,91942,68328,138962,0
95094,56223,45079,151317,140173,101302,1
49817,54036,81784,103853,131601,135820,1
71317,11393,55028,82710,126345,66421,0
27524,88517,1350,116041,28874,89867,0
76744,69916,72184,146660,148928,142100,1
67953,2680,4166,70633,72119,6846,0
8957,5442,51209,14399,60166,56651,0
6725,81838,2037,88563,8762,83875,0
43710,91111,85268,134821,128978,176379,1
63471,73326,11911,136797,75382,85237,1
96545,25234,66526,121779,163071,91760,0
43483,22107,27833,65590,71316,49940,1
12205,16846,70564,29051,82769,87410,0
65403,60040,93646,125443,159049,153686,1
84190,76615,93737,160805,177927,170352,1
15435,31392,54420,46827,69855,85812,0
19402,38747,63059,58149,82461,101806,0
87849,50620,98607,138469,186456,149227,1
93175,25149,80020,118324,173195,105169,1
48560,43942,30636,92502,79196,74578,1
46570,23764,4412,70334,50982,28176,0
14475,26248,17453,40723,31928,43701,1
10972,13794,95342,24766,106314,109136,0
87148,34713,53092,121861,140240,87805,1
51256,14077,1989,65333,53245,16066,0
12116,23774,59888,35890,72004,83662,0
56361,80378,92307,136739,148668,172685,1
45804,77874,66145,123678,111949,144019,1
40081,27877,23974,67958,64055,51851,1
23094,78719,65409,101813,88503,144128,1
93782,96305,67605,190087,161387,163910,1
77295,13064,77567,90359,154862,90631,1
2277,11195,105,13472,2382,11300,0
36169,20511,9449,56680,45618,29960,0
38989,35962,44389,74951,83378,80351,1
51956,63804,57830,115760,109786,121634,1
73181,31780,86619,104961,159800,118399,1
14734,55901,45517,70635,60251,101418,1
62767,70269,7583,133036,70350,77852,1
53791,82718,68705,136509,122496,151423,1
16510,22375,14270,38885,30780,36645,1
25936,28223,13034,54159,38970,41257,1
10238,25031,77409,35269,87647,102440,0
60968,20454,55432,81422,116400,75886,1
99880,2133,1141,102013,101021,3274,0
24216,27708,3984,51924,28200,31692,1
38794,21170,18758,59964,57552,39928,1
86081,47078,55776,133159,141857,102854,1
709,86773,94844,87482,95553,181617,0
22768,86434,1676,109202,24444,88110,0
2719,45470,97351,48189,100070,142821,0
97430,78085,43754,175515,141184,121839,1
45961,63399,92808,109360,138769,156207,1
20371,54924,39767,75295,60138,94691,1
81700,4151,65248,85851,146948,69399,0
39703,58619,87357,98322,127060,145976,1
83485,57754,44122,141239,127607,101876,1
91908,46499,71351,138407,163259,117850,1
3906,2996,97338,6902,101244,100334,0
50695,74463,51010,125158,101705,125473,1
61232,60638,79349,121870,140581,139987,1
46841,43684,95136,90525,141977,138820,0
44429,35451,98602,79880,143031,134053,0
58048,75590,57917,133638,115965,133507,1
8899,80835,11219,89734,20118,92054,0
14105,5787,15459,19892,29564,21246,1
67801,97348,52142,165149,119943,149490,1
60289,38750,63021,99039,123310,101771,1
70144,87318,6835,157462,76979,94153,0
64776,35400,18345,100176,83121,53745,0
87895,25891,95019,113786,182914,120910,1
77643,99901,89338,177544,166981,189239,1
53352,79495,75591,132847,128943,155086,1
82465,20473,53325,102938,135790,73798,0
48968,33669,37377,82637,86345,71046,1
768,8102,47842,8870,48610,55944,0
54212,77618,73516,131830,127728,151134,1
10852,50606,27302,61458,38154,77908,0
76175,95787,7667,171962,83842,103454,0
56140,12223,96644,68363,152784,108867,0
93762,49687,45143,143449,138905,94830,1
45002,68841,86828,113843,131830,155669,1
78676,40064,79653,118740,158329,119717,1
39535,58418,38801,97953,78336,97219,1
50579,40090,88688,90669,139267,128778,1
81891,31965,23695,113856,105586,55660,0
21471,38274,96401,59745,117872,134675,0
54050,60468,39673,114518,93723,100141,1
75025,57549,50522,132574,125547,108071,1
40768,58134,3958,98902,44726,62092,0
71856,3699,80633,75555,152489,84332,0
5261,6653,44917,11914,50178,51570,0
74257,58378,90678,132635,164935,149056,1
27889,90099,3799,117988,31688,93898,0
22790,7660,70711,30450,93501,78371,0
76593,87079,13247,163672,89840,100326,1
86085,3989,42122,90074,128207,46111,0
34888,48925,30198,83813,65086,79123,1
57176,13847,7574,71023,64750,21421,0
46874,57096,82415,103970,129289,139511,1
51721,56189,70065,107910,121786,126254,1
25527,84704,90365,110231,115892,175069,1
11089,26015,69215,37104,80304,95230,0
72201,86034,54309,158235,126510,140343,1
71675,81540,28605,153215,100280,110145,1
11391,45835,87887,57226,99278,133722,0
91916,74065,94669,165981,186585,168734,1
51355,13957,92037,65312,143392,105994,0
41018,75286,26258,116304,67276,101544,0
82686,31848,78320,114534,161006,110168,1
1635,34348,37570,35983,39205,71918,0
81259,49367,63824,130626,145083,113191,1
85045,86920,8422,171965,93467,95342,1
13775,32044,67503,45819,81278,99547,0
32364,55518,21847,87882,54211,77365,0
44073,29245,56873,73318,100946,86118,1
50698,78366,42182,129064,92880,120548,1
28592,12048,18577,40640,47169,30625,1
39323,11073,17903,50396,57226,28976,0
89872,79920,18526,169792,108398,98446,1
45835,99346,71394,145181,117229,170740,1
11178,3846,39168,15024,50346,43014,0
44932,23408,81452,68340,126384,104860,0
22196,96278,32187,118474,54383,128465,0
81134,73268,99982,154402,181116,173250,1
77656,48132,45267,125788,122923,93399,1
55082,9733,39932,64815,95014,49665,0
93470,82809,5552,176279,99022,88361,0
96620,85041,63951,181661,160571,148992,1
20137,98289,82971,118426,103108,181260,1
89281,22991,21728,112272,111009,44719,0
24312,69691,49492,94003,73804,119183,1
45829,12160,97455,57989,143284,109615,0
90477,80226,87354,170703,177831,167580,1
66634,60823,10622,127457,77256,71445,1
70364,66746,16046,137110,86410,82792,1
15489,29793,92795,45282,108284,122588,0
80357,29507,71294,109864,151651,100801,1
75420,9310,50819,84730,126239,60129,0
84419,54368,87244,138787,171663,141612,1
11029,54468,38119,65497,49148,92587,0
89843,90209,19321,180052,109164,109530,1
54916,93628,51087,148544,106003,144715,1
83737,10711,78266,94448,162003,88977,1
15192,11353,890,26545,16082,12243,0
72284,65189,81574,137473,153858,146763,1
91518,45375,68967,136893,160485,114342,1
17532,32500,74226,50032,91758,106726,0
45183,58751,34839,103934,80022,93590,1
68324,28535,95769,96859,164093,124304,1
82113,23705,21403,105818,103516,45108,0
14250,4674,67005,18924,81255,71679,0
25762,47069,404,72831,26166,47473,0
95006,81410,33642,176416,128648,115052,1
8223,26206,61509,34429,69732,87715,0
57439,63456,44788,120895,102227,108244,1
51060,53139,66145,104199,117205,119284,1
32131,58690,45336,90821,77467,104026,1
41305,12615,68790,53920,110095,81405,0
29313,8085,12966,37398,42279,21051,0
34021,56309,1758,90330,35779,58067,0
972,5943,5603,6915,6575,11546,1
3893,5137,209,9030,4102,5346,0
92747,15220,91802,107967,184549,107022,1
16870,64676,32560,81546,49430,97236,0
48548,26213,79056,74761,127604,105269,0
14438,10112,43959,24550,58397,54071,0
5599,27278,80439,32877,86038,107717,0
25859,72953,20217,98812,46076,93170,0
23175,73290,86858,96465,110033,160148,1
70579,2073,45167,72652,115746,47240,0
20089,22598,38274,42687,58363,60872,1
86165,47374,90002,133539,176167,137376,1
15790,65568,62452,81358,78242,128020,1
25890,90183,42070,116073,67960,132253,0
3091,86235,189,89326,3280,86424,0
22802,9124,80630,31926,103432,89754,0
99085,50081,89057,149166,188142,139138,1
84473,15292,1674,99765,86147,16966,0
33114,54599,35996,87713,69110,90595,1
12249,14107,49560,26356,61809,63667,0
44132,75961,25053,120093,69185,101014,0
55915,21126,84122,77041,140037,105248,0
22379,8963,26113,31342,48492,35076,1
91511,82992,44058,174503,135569,127050,1
29499,47894,7429,77393,36928,55323,0
77206,73701,30426,150907,107632,104127,1
34696,66014,43123,100710,77819,109137,1
85301,33356,60621,118657,145922,93977,1
10963,12337,88623,23300,99586,100960,0
23193,12633,1328,35826,24521,13961,0
33449,14236,69159,47685,102608,83395,0
85569,71017,76741,156586,162310,147758,1
57128,30133,39159,87261,96287,69292,1
16843,13801,29506,30644,46349,43307,1
23960,21125,16262,45085,40222,37387,1
48432,14512,51116,62944,99548,65628,1
70083,79253,30176,149336,100259,109429,1
63199,30173,33694,93372,96893,63867,1
41869,78781,57764,120650,99633,136545,1
94048,36924,9054,130972,103102,45978,0
49683,53790,49937,103473,99620,103727,1
84531,53707,28500,138238,113031,82207,0
36539,40347,44789,76886,81328,85136,1
52636,48841,29656,101477,82292,78497,1
39147,64288,28469,103435,67616,92757,1
70240,29183,82893,99423,153133,112076,1
81874,83760,89438,165634,171312,173198,1
39766,73856,42432,113622,82198,116288,1
97073,2112,6535,99185,103608,8647,0
31817,83337,23867,115154,55684,107204,0
54844,38326,87608,93170,142452,125934,1
3433,787,33830,4220,37263,34617,0
68592,7012,71253,75604,139845,78265,1
99841,79848,47766,179689,147607,127614,1
68973,41864,46023,110837,114996,87887,1
74536,92402,2022,166938,76558,94424,0
20015,92793,88338,112808,108353,181131,1
61559,19373,49902,80932,111461,69275,1
60350,63929,78321,124279,138671,142250,1
10343,40388,87590,50731,97933,127978,0
7635,42396,98141,50031,105776,140537,0
71262,76927,35687,148189,106949,112614,1
19973,51338,85764,71311,105737,137102,0
43622,3411,25187,47033,68809,28598,0
6002,22243,37254,28245,43256,59497,0
36747,58030,82604,94777,119351,140634,1
41305,98280,77266,139585,118571,175546,1
15562,95908,24824,111470,40386,120732,0
81403,99907,319,181310,81722,100226,0
15227,34867,86567,50094,101794,121434,0
96354,36347,56892,132701,153246,93239,0
29631,70362,91695,99993,121326,162057,1
58184,8640,66802,66824,124986,75442,1
66475,75143,78349,141618,144824,153492,1
32598,10009,74374,42607,106972,84383,0
99385,14069,36421,113454,135806,50490,0
31438,75381,54845,106819,86283,130226,1
86462,6850,51791,93312,138253,58641,0
74224,53311,31279,127535,105503,84590,1
20287,97697,37630,117984,57917,135327,0
53924,87971,22210,141895,76134,110181,0
93948,57832,2740,151780,96688,60572,0
52266,57191,79033,109457,131299,136224,1
32413,82987,62002,115400,94415,144989,1
72031,44635,93025,116666,165056,137660,1
71394,19457,51262,90851,122656,70719,0
1191,78313,63339,79504,64530,141652,0
1662,81078,3130,82740,4792,84208,0
38465,30991,49717,69456,88182,80708,1
23325,49547,7714,72872,31039,57261,0
41988,76644,1863,118632,43851,78507,0
90658,57882,54963,148540,145621,112845,1
99224,2926,3598,102150,102822,6524,0
91050,81312,5463,172362,96513,86775,0
4318,18942,88204,23260,92522,107146,0
80105,32662,86064,112767,166169,118726,1
11978,48108,57605,60086,69583,105713,1
16538,64199,1683,80737,18221,65882,0
73163,95590,86186,168753,159349,181776,1
13254,3916,11856,17170,25110,15772,1
85560,54968,40757,140528,126317,95725,1
18029,3737,79684,21766,97713,83421,0
62730,84447,90495,147177,153225,174942,1
61835,39048,61119,100883,122954,100167,1
60847,82575,49252,143422,110099,131827,1
67740,98256,24069,165996,91809,122325,0
65658,8426,74872,74084,140530,83298,0
84454,59933,16844,144387,101298,76777,0
21032,63490,58726,84522,79758,122216,1
38858,19690,86177,58548,125035,105867,0
62744,29365,24392,92109,87136,53757,0
82518,76915,38953,159433,121471,115868,1
66673,23075,16395,89748,83068,39470,0
49211,5042,87294,54253,136505,92336,0
98828,97562,65026,196390,163854,162588,1
82038,50671,89362,132709,171400,140033,1
68105,10404,36409,78509,104514,46813,0
96982,74097,50441,171079,147423,124538,1
12598,63570,27618,76168,40216,91188,0
54436,93568,93554,148004,147990,187122,1
14563,4057,35732,18620,50295,39789,0
36767,40640,51487,77407,88254,92127,1
34138,25882,7663,60020,41801,33545,0
41500,73525,8720,115025,50220,82245,0
19432,19743,13758,39175,33190,33501,1
3732,88292,63380,92024,67112,151672,0
7045,74074,4790,81119,11835,78864,0
10609,33850,24019,44459,34628,57869,1
68702,7342,9279,76044,77981,16621,0
44329,15219,3167,59548,47496,18386,0
69290,91063,20551,160353,89841,111614,0
8108,52273,67848,60381,75956,120121,0
67784,54177,5947,121961,73731,60124,0
5396,35742,99494,41138,104890,135236,0
71575,29009,61623,100584,133198,90632,1
5066,68276,61819,73342,66885,130095,0
93667,10956,96876,104623,190543,107832,1
37503,32707,5440,70210,42943,38147,1
40936,37188,23789,78124,64725,60977,1
11814,84550,41948,96364,53762,126498,0
19501,86259,95019,105760,114520,181278,1
70778,83976,52795,154754,123573,136771,1
34662,33264,94190,67926,128852,127454,0
92037,8253,4756,100290,96793,13009,0
28483,70565,95451,99048,123934,166016,1
3612,29747,47969,33359,51581,77716,0
33421,74994,83676,108415,117097,158670,1
90459,70061,8719,160520,99178,78780,0
58048,94697,25871,152745,83919,120568,0
10751,68360,26355,79111,37106,94715,0
17795,84976,92240,102771,110035,177216,1
43952,94561,80507,138513,124459,175068,1
15329,34689,16715,50018,32044,51404,0
7891,87145,17112,95036,25003,104257,0
3430,96883,10445,100313,13875,107328,0
68438,4738,34576,73176,103014,39314,0
77981,22125,15519,100106,93500,37644,0
27642,2921,95942,30563,123584,98863,0
42781,73429,30440,116210,73221,103869,0
81138,61956,14126,143094,95264,76082,0
70783,18190,28605,88973,99388,46795,0
43847,67025,19621,110872,63468,86646,0
73838,29938,44687,103776,118525,74625,1
95021,65891,25283,160912,120304,91174,0
76458,1227,50433,77685,126891,51660,0
67114,38089,65847,105203,132961,103936,1
62871,66367,95555,129238,158426,161922,1
54349,1356,26591,55705,80940,27947,0
65232,82238,10992,147470,76224,93230,0
46009,56008,75809,102017,121818,131817,1
7336,67912,17967,75248,25303,85879,0
16395,29295,26285,45690,42680,55580,1
44760,27595,88247,72355,133007,115842,0
26416,28228,33245,54644,59661,61473,1
73491,7592,31495,81083,104986,39087,0
39401,30773,80572,70174,119973,111345,0
62337,61077,57953,123414,120290,119030,1
176,72037,96053,72213,96229,168090,0
77306,32978,75237,110284,152543,108215,1
7474,51076,59571,58550,67045,110647,0
63746,52870,64021,116616,127767,116891,1
55938,39115,16779,95053,72717,55894,0
72225,57576,49276,129801,121501,106852,1
57972,7208,90751,65180,148723,97959,0
69317,95777,54038,165094,123355,149815,1
32443,98676,37008,131119,69451,135684,0
4001,81683,42449,85684,46450,124132,0
6644,55671,48594,62315,55238,104265,0
60024,16516,55985,76540,116009,72501,1
12439,13804,26874,26243,39313,40678,0
38270,70763,60208,109033,98478,130971,1
58649,94484,94038,153133,152687,188522,1
18267,44624,89360,62891,107627,133984,0
44682,26893,33801,71575,78483,60694,1
89817,3401,67889,93218,157706,71290,0
24766,5344,3081,30110,27847,8425,0
96442,25447,33454,121889,129896,58901,0
15106,51355,22951,66461,38057,74306,0
48508,71441,16281,119949,64789,87722,0
19228,99261,9733,118489,28961,108994,0
34866,76963,98674,111829,133540,175637,1
31572,8799,30512,40371,62084,39311,1
86818,43061,62037,129879,148855,105098,1
40820,87355,88659,128175,129479,176014,1
59431,33672,71730,93103,131161,105402,1
65430,51174,1841,116604,67271,53015,0
23665,64797,26491,88462,50156,91288,0
60143,48290,74269,108433,134412,122559,1
98124,76037,86108,174161,184232,162145,1
83092,93523,72786,176615,155878,166309,1
70822,76008,26101,146830,96923,102109,1
89462,79160,51132,168622,140594,130292,1
28452,63076,74623,91528,103075,137699,1
70616,11821,96911,82437,167527,108732,0
48926,95753,83993,144679,132919,179746,1
92780,71624,60228,164404,153008,131852,1
23181,63568,50153,86749,73334,113721,1
46764,7404,55359,54168,102123,62763,0
51820,28987,95411,80807,147231,124398,0
76505,25480,37436,101985,113941,62916,0
19549,10548,44384,30097,63933,54932,0
16845,16025,10326,32870,27171,26351,1
50320,63875,58210,114195,108530,122085,1
68221,95021,15092,163242,83313,110113,0
70452,37307,63465,107759,133917,100772,1
98890,55315,32360,154205,131250,87675,0
66503,84159,86241,150662,152744,170400,1
37181,69136,14858,106317,52039,83994,0
77576,20810,5448,98386,83024,26258,0
13884,57520,3164,71404,17048,60684,0
28405,88536,3940,116941,32345,92476,0
99298,30635,45291,129933,144589,75926,0
61459,28075,80889,89534,142348,108964,1
45519,7493,35888,53012,81407,43381,0
67866,31818,32519,99684,100385,64337,0
64768,7927,31351,72695,96119,39278,0
71197,50276,13654,121473,84851,63930,0
85787,41861,85630,127648,171417,127491,1
10674,23453,61720,34127,72394,85173,0
7459,21709,10395,29168,17854,32104,0
3635,59661,34532,63296,38167,94193,0
46837,81085,49285,127922,96122,130370,1
57499,503,45536,58002,103035,46039,0
89076,61020,94006,150096,183082,155026,1
28818,26679,88940,55497,117758,115619,0
31657,64888,44149,96545,75806,109037,1
34162,21238,27965,55400,62127,49203,1
12889,75898,943,88787,13832,76841,0
449,90623,904,91072,1353,91527,0
84721,20162,60074,104883,144795,80236,0
46667,63247,43537,109914,90204,106784,1
36254,70633,73763,106887,110017,144396,1
80298,8904,9459,89202,89757,18363,0
34829,21095,34099,55924,68928,55194,1
25535,59773,92423,85308,117958,152196,0
13779,53107,75663,66886,89442,128770,0
31810,84416,13872,116226,45682,98288,0
78013,45198,4998,123211,83011,50196,0
59895,8041,93405,67936,153300,101446,0
20407,40485,44067,60892,64474,84552,1
17143,93727,16354,110870,33497,110081,0
73697,61807,21125,135504,94822,82932,1
64652,37262,78988,101914,143640,116250,1
97269,91369,70879,188638,168148,162248,1
47892,85880,56027,133772,103919,141907,1
34253,99898,97170,134151,131423,197068,1
47957,11310,10931,59267,58888,22241,0
6912,45389,28900,52301,35812,74289,0
95683,8363,43150,104046,138833,51513,0
7485,44325,74209,51810,81694,118534,0
62386,74775,15992,137161,78378,90767,1
94211,70559,62585,164770,156796,133144,1
27856,12740,56396,40596,84252,69136,0
99825,57624,18977,157449,118802,76601,0
49841,66092,9184,115933,59025,75276,0
15763,31697,38602,47460,54365,70299,1
33129,63627,19797,96756,52926,83424,0
83134,62776,79723,145910,162857,142499,1
24394,45267,68461,69661,92855,113728,1
34272,11859,33668,46131,67940,45527,1
80050,86806,91745,166856,171795,178551,1
88045,78454,55674,166499,143719,134128,1
93000,89677,42073,182677,135073,131750,1
94166,72647,11337,166813,105503,83984,0
56313,99860,67730,156173,124043,167590,1
68883,91655,33825,160538,102708,125480,1
37046,87161,36178,124207,73224,123339,0
56030,31975,77066,88005,133096,109041,1
57276,34520,8798,91796,66074,43318,0
69532,91753,68718,161285,138250,160471,1
84760,85673,91539,170433,176299,177212,1
81107,7154,12540,88261,93647,19694,0
15147,63029,26040,78176,41187,89069,0
52561,46493,21318,99054,73879,67811,1
24451,81439,43774,105890,68225,125213,0
96397,6953,99926,103350,196323,106879,1
51132,7932,28468,59064,79600,36400,0
89725,24103,23436,113828,113161,47539,0
34656,87469,46375,122125,81031,133844,0
83152,58598,33480,141750,116632,92078,1
27473,89827,45198,117300,72671,135025,0
48773,9490,10577,58263,59350,20067,0
90813,51203,62254,142016,153067,113457,1
35110,74029,26965,109139,62075,100994,0
28151,9288,43843,37439,71994,53131,0
90622,65562,54868,156184,145490,120430,1
99811,64233,92508,164044,192319,156741,1
1543,50189,54754,51732,56297,104943,0
63849,25542,7946,89391,71795,33488,0
33199,93253,91994,126452,125193,185247,1
90926,94387,87029,185313,177955,181416,1
27209,12202,33368,39411,60577,45570,1
6966,21127,15909,28093,22875,37036,1
37086,93110,31977,130196,69063,125087,0
15545,69273,40041,84818,55586,109314,0
33405,83281,11353,116686,44758,94634,0
71470,941,89238,72411,160708,90179,0
26761,39327,40275,66088,67036,79602,1
80787,57642,82976,138429,163763,140618,1
27075,56695,60666,83770,87741,117361,1
9102,40457,92142,49559,101244,132599,0
